Course_Identification,Title_Long_Description,Course_Description
EDCIB442,Organization & Management in the Secondary Classroom,"(Prerequisite: Admission into the Professional Program) Structuring of the physical, social, and instructional environment to maximize learning in a supportive, diverse secondary classroom. Development of a comprehensive understanding of practice, proactive, and reactive approaches to management with attention to motivation and culturally diverse settings will be addressed. Behaviorist and constructivist approaches, inclusive education, ESOL learner needs, conflict resolution, ABC Analysis, and the promotion of learning communities are components of this course. "
EDECB340,Education of the Young Child,"A study of the physical, emotional, intellectual and social components of development, birth through age eight and their relationship to the education of the young child birth - age eight. Diagnosis and assessment of development are addressed. Programs serving young children and their families will be discussed. The administration of these programs as well as advocacy efforts are included. Observation and participation in early childhood settings is required."
EDECB342,Curriculum Planning and Development in Early Childhood Education,"(Prerequisite or Co-requisites: EDCI B210; EDEC B340; EDPY B335). This curriculum course is designed for prospective teachers in the nursery, kindergarten and primary schools. The course explores various issues involved in the development and education of children from the ages of four to eight. Attention is given to learning activities, materials and equipment suitable for teaching at this level. Emphasis is given to appropriate methods for assessment of children ages four through eight and to the relationship of various subject areas to the physical, social, emotional and cognitive development of the child. Philosophy, history of early childhood education, classroom management, societal influences, parental involvement and community resources are included."
EDECB345,Family in Early Life Childhood,"(Preq: Admission to Professional Program in Education) Principles, practices and content of family life and family-school relations as related to young children?s learning and development in various settings during the early childhood years, birth through eight. This course will provide a foundation for using family life knowledge in relating to young children and families in effective ways."
EDECB435,Math Experiences in Early Childhood Education,"(Prerequisite: EDCI B210; Admission to the Professional Program in Education or permission of the Department Chair; Co-requisites: EDEC B436, EDEC B444, EDEC B440P). This methods course includes the basic content of the academic area of mathematics to be presented to PreK-3rd grade children. Developmentally appropriate experiences, learning activities, materials and equipment to aid in the development of math concepts in young children are presented. Diversity-related influences and needs of exceptional learners are also addressed."
EDECB435P,ABEYANCE: Practicum in Teaching Mathematics in Early Childhood Education,"(admission to the Professional Program in Education or permission of Dept Chair). Supervised clinical experience in an early childhood setting. Observation and participation in a classroom setting is required with a focus on math learning experiences, materials and equipment. Seminar and group discussions are included."
EDECB436,Science and Social Studies Experiences in Early Childhood Education,"(Prerequisite: EDCI B210; Admission to Professional Program in Education or permission of the Department Chair; Co-requisites: EDEC B435, EDEC B444, EDEC B440P). This methods course includes the basic content in the inquiry areas of science and social studies to be presented to PreK - 3rd grade children. Developmentally appropriate inquiry experiences, learning activities, materials and equipment are presented. Diversity-related influences and needs of exceptional learners are also addressed."
EDECB436P,ABEYANCE: Practicum in Teaching Science and Social Studies in Early Childhood Education,"(admission to the Professional Program in Education or permission of Department Chair)  Supervised clinical experience in an early childhood setting.  Observation and participation in a classroom setting is required with a focus on science and social studies inquiry learning experiences, materials and equipment.  Seminar and group discussions are included."
EDECB440P,Practicum: Teaching Integrated Lessons in Early Childhood Education,"Prerequisite: Admission to the Professional Program or permission of the Department Chair; Co-requisite EDEC B435, EDEC B436, and EDEC B444). Supervised clinical experience in an early childhood setting. Teacher candidates will apply principles of planning, instruction, assessment, management, and professionalism in diverse field-based settings serving students in grades P-3. Offered in Fall."
EDECB444,Language Development and Communicative Skills,"(admission to the Education Professional Program or special permission by the Department Chair)  This course deals with the relationship of language development and thinking to teaching communicative skills to young children.  Specific areas covered include activities across the language arts curriculum strands: reading, writing, listening, speaking, viewing and visually representing."
EDECB444P,"Practicum in Teaching, Language, Communication and Critical Thinking in Early Childhood Education","(Prereq: BEDC 210, Admission to Professional Program in Education or permission of Department Chair; Coreq: BEDE 444.) Supervised clinical experience in an early childhood setting.  Observation and participation in classroom setting is required with a focus on language, communication and critical thinking skills learning experiences, materials and equipment.  Seminars and group discussions included."
EDECB469,Internship in Early Childhood Education,(admission to Professional Program in Education and Internship) A program of observation and teachng in the public schools under the supervision of university and public school  personnel.
EDECB476,Senior Seminar in Early Childhood Education,The synthesis and critical evaluation of professional studies in early childhood education.
EDELB320,"Cirriculum Planning, Development and Assessment in the Elementary School","This course explores issues involved in the development and education of children including curriculum, instruction, activities, materials, grouping, grading and appropriate methods of authentic assessment, as well as analysis of standardized test results in relation to the physical, social, emotional, and cognitive development of grade 2-6 learners for optimal learning. Parental involvement, community resources and collaborative relationships with specialists are included components of this course."
EDELB330,"Intergrating the Arts in Elementary Education: Art, Music and Movement","Provides opportunities to develop competence in selecting and using a variety of high quality instructional methods, resources, and assessment strategies for teaching art, music, and movement to elementary children."
EDELB431,Teaching Mathematics in the Elementary School,"Materials, resources, programs, and methods for teaching mathematics to diverse learners in grades 2-6. Problem solving, mathematical content and process connections, as well as assessment, diagnosis, and remediation will be addressed. Included are supervised practicum experiences that promote reflective teaching in elementary school settings.    Admission to the Department of Education's Professional Program for Elementary Education."
EDELB432,Teaching Science in the Elementary School,"Materials, resources, programs, and methods for teaching science in an inquiry format to diverse learners in grades 2-6. Included are supervised practicum experiences that promote reflective teaching in elementary school settings. Prerequisite:   Prereq: Admission to the Department of Education's Professional Program for Elementary Education."
ENGLB385,Modernism,"{=BCMP 385}  Literature of Modernism in its cultural contexts, explored through representative works."
ENGLB386,NULL,"{=BCMP 386}  Literature of Postmodernism in its cultural contexts, explored through representative works."
EDELB434,Language Arts in the Elementary School,"This course focuses on methods of teaching language arts and writing in grades 2-6. Course content includes strategies for teaching the conventions of language, the writing process, writing traits, assessment methods, and incorporating content area reading and writing.   Prereq: EDCI 210, EDRD 218 and to the admission to the Department of Education's Teacher Education Professional Program for Elementary Education."
EDELB440P,Math/Science Practicum,"Supervised clinical experience in an elementary education setting. Teacher candidates will apply principles of planning, instruction, assessment, management, and professionalism in diverse field-based settings serving students in grades 2-6. Offered in Fall."
EDELB441,Organization and Management in a Diverse Classroom,"Structuring of the physical, social, and instructional environment to maximize learning in a supportive, diverse classroom. Development of a comprehensive understanding of practice, proactive, and reactive approaches to management with attention to motivation and culturally diverse settings will be addressed. Behaviorists and constructivist approaches, inclusive education, ESOL learner needs, conflict resolution, and the promotion of learning communities are components of this course.  Admission to the Department of Education's Teacher Education Professional Program for Elementary Education."
EDELB443,Teaching Social Studies in the Elementary School,"Materials, resources, programs, and methods for teaching social studies to grades 2-6 for learners to become well-informed citizens in a culturally diverse and democratic society. Included are supervised practicum experiences that promote reflective teaching in the elementary school setting.  Prereq: Admission to the Department of Education's Professional Program for Elementary Education."
EDELB470,Internship in Elementary School,A program of observation and teaching in the public schools under the supervision of university and public school personnel.
EDELB476,Senior Seminar,The synthesis and critical evaluation of professional studies in elementary education.
EDEXB300,Introduction to Exceptional Learner,"(Admission to the Professional Program or permission of Department Chair). A survey of the development of special education, the current legal guidelines with emphasis on public school mandates, the various clusters of exceptionalities: their definition, classification, identification, prevalence, causes, characteristics and educational needs, including mainstreaming in the regular classroom."
EDEXB301,Introduction to Exceptional Populations at the Secondary Level,"(Prerequisite: EDRD B319 & EDCI B320) Introductory course designed to survey the development of special education in high school settings; the current legal guidelines with emphasis on public school mandates; the various clusters of exceptionalities, their definitions, classification, identification, prevalence, causes, characteristics, education needs; and the inclusion of students with exceptionalities within the general education classroom at the secondary level. "
EDFOB321,Foundations of American Education,"Extensive treatment of social, political, economic and philosophical influences that have shaped public education. Study of the financial, organizational and legal aspects of education. Library assignments provide a working knowledge of professional standard references and journals."
EDFOB357,Sociology of Education,"{=SOCY B357} Analysis of educational institutions, organizations, processes and their effects in contemporary society."
EDMEB430,Teaching Mathematics in the Secondary School,(Prereq: Admission to professional program in education; Coreq: EDME B430P) This course includes teaching methods for secondary mathematics education.
EDMEB430P,Practicum in Teaching Mathematics in the Secondary School,(Prereq: Admission to professional program in education; Coreq: EDME B430) Supervised clinical experience in a secondary mathematics setting. Observation and participation in a classroom setting is required.
EDMEB469,Internship in Secondary Mathematics Education,A program of observation and teaching secondary mathematics in the public schools under the supervision of university and public school personnel.
EDMEB476,Senior Seminar in Secondary Mathematics Education,The synthesis and critical evaluation of professional studies in secondary mathematics education.
EDPHB231,Personal and Community Health,A study of the principles and practices of personal and community health and their application to the health education of the young child.
EDPYB333,Introduction to Child Growth and Development,"Basic course designed to familiarize the prospective teacher with the patterns of social, emotional, physical and intellectual growth of the individual. Development of these growth patterns from the prenatal stage to the onset of adolescence."
EDPYB334,Adolescent Growth and Development,"The study of adolescent physical, intellectual and emotional development. Particular emphasis is placed on the social interactions of adolescents with each other and society at large."
EDPYB335,Introduction to Educational Psychology,"(Prereq or Coreq: BEDC 210)  This course will introduce pre-service teachers and education majors to psychological principles, theory and data upon which effective classroom practices are based, including general methods and techniques.  A variety of teaching methods for classroom management will be considered with the focus on the teacher as a decision maker in planning, evaluation and control.  Emphasis will be placed on student motivation, learning problems, individual differences ad measurement."
EDPYB355,Introductional to Educational Psychology,"This course will introduce pre-service teachers and education majors to psychological principles, theory and data upon which effective classroom practices are based, including general methods and techniques.  A variety of teaching methods for classroom management will be considered with the focus on the teacher as a decision maker in planning, evaluation and control.  Emphasis will be placed on student motivation, learning problems, individual differences and measurement."
EDPYB635,Advanced Educational Psychology,(Prerequisite: Permission of Department) This course will introduce and illustrate the proper use of learning theories in providing insights into defining and solving problems that may be encountered in educational settings. The emphasis will be on the use of these theories to solve realistic and relevant problems drawn from the classroom teacher?s own personal experience or from cases in the readings. 
EDRDB218,Children's Literature,"Reading interests of children and their curricular and developmental needs for literature are explored. The course presents basic information in the field of children?s literature including authors, illustrators and appropriate reference materials."
EDRDB318,Foundations of Reading,"This course focuses on the foundations of reading, including language development, phonemic awareness, phonics, vocabulary, fluency, and comprehension. Offered in Fall."
EDRDB319,Foundations of Reading for Secondary Teachers,"This course provides the basics of teaching reading and writing in secondary content classes. Candidates will be prepared to support students in grades 9-12 who are struggling to read, write, and comprehend information through assessment and differentiation."
ENGLB412,Victorian Literature,Poetry and prose from the 1830s to the end of the century.
ENGLB413,Modern English Literature,Poetry and prose of the 20th century.
EDRDB418,Children's Literature,"Reading interests of children and their curricular and developmental needs for literature are explored. The course presents basic information in the field of children?s literature including authors, illustrators and appropriate reference materials."
EDRDB419,Content Literacy for Secondary Teachers,"This course provides 7-12 grade teachers with the strategies for teaching literacy within the framework of content area classes. The course teaches a sound theoretical knowledge of academic vocabulary, nonfiction texts structures and strategies for analyzing texts to improve the knowledge base."
EDRDB420,Emergent Reading Methods and Assessment,"(admission to the Professional Program or special permission of the Department Chair)  This course focuses on literacy development, acquisition of phonemic awareness and phonics, evidence-based methods of reading instruction and the use of effective assessments for emergent readers."
EDRDB420P,Abeyance - Practicum in Emergent Reading,"(admission to the Education Professional Program or special permission of the Department Chair).  This practicum provides supervised clinical experience in an emergent literacy setting.  Demonstration teaching in a classroom setting is required, with a focus on assessment and remediation of struggling readers."
EDRDB421,Teaching Reading: Diagnosis and Remediation,"(Prereq: BEDR 420 and 420P and Admission to Educational Professional Program or special permission of Department Chair) Clinical and classroom aspects of teaching students with reading difficulties are explored with emphasis on testing procedures, instructional materials, and teaching techniques. Issues of diagnosing and teaching based upon the state mandated testing."
EDRDB425,Assessment of Literacy for Early Childhood and Elementary Teachers,"This course instructs teacher candidates to administer and analyze a variety of formal and informal assessments for screening and diagnosis of reading problems at the early childhood and elementary level. The course utilizes both standardized and portfolio assessments.  Offered in Spring.  Pre-requisite: Admission to the Professional Program or special permission of the Department Chair and EDCI B210, EDCI B243, and EDRD B318.  Co-requisite: EDRD B430/EDRD 450P."
EDRDB428,Content Area Literacy for Early Childhood and Elementary Teachers,"This course is designed to instruct teacher candidates, grades pre-K through 6, in developing methods and materials that will improve their students? literacy skills in content area reading and writing. Offered in Fall.  Admission to the Professional Program or special permission of the Department Chair and EDCI B210, EDCI B243, and EDRD B318."
EDRDB429,Content Literacy for Secondary Teachers,"This course provides 7-12 teachers with the strategies for teaching literacy within the framework of content area classes. The course teaches a sound theoretical knowledge of academic vocabulary, nonfiction texts structures and strategies for analyzing texts to improve the knowledge base."
EDRDB430,Instructional Strategies in Literacy for Early Childhood Teachers,"(Prerequisite: EDCI B100, EDCI B243, EDRD B318; Admission to the Professional Program or special permission of the Department Chair. Corequisite: EDRD B425 & EDRD B450P) This course focuses on research-based instructional strategies for literacy in early childhood classeooms. Course content includes cooperative learning, critical literacy, Reader's and Writer's Worksop. Specific instruction in the five elements of teaching reading: phonics, phonemic awareness, fluency, vocabulary and comprehension and the 6+1 traits of writing. "
ENGLB415,The English Novel,Development of the novel as a literary form and study of selected works from its beginnings to the present.
EDRDB430P,Abeyance - Practicum in Intermedite Reading,"(admission to the Education Professional Program or special permission of the Department Chair).  This practicum provides supervised clinical experience in an elementary grade setting.  Demonstration teaching in a classroom setting is required, with a focus on assessment and remediation of struggling readers."
EDRDB433,Instructional Strategies for Elementary Teachers,"(Prerequisite: Acceptance into the Department of Education's Professional Program) This course focuses on research-based instructional strategies for literacy in elementary classrooms. Course content includes cooperative learning, critical literacy, Reader's and Writer's Workshop. Specific instruction in the five elements of teaching reading: phonics, phonemic awareness, fluency, vocabulary and comprehension. Reading comprehension and writing processes across the content areas are also included.  "
EDRDB450P,Literacy/Social Studies Practicum,"Supervised clinical experience in an early childhood or elementary setting. Teacher candidates will demonstrate proficiency in planning, assessing and teaching various methods of reading and providing individualized differentiated instruction for struggling/ELL students."
EDRDB619,Foundations of Reading,"(Prerequisite: Permission of Department) This course provides candidates with comprehensive knowledge of the social, cultural, and linguistic factors that influence reading development. Emphasis is placed on practical application of theory, oral language development, phonemic awareness and phonics."
EDRDB623,Differentiation in Reading Instruction,"This course requires that students conduct in-depth study of effective literacy methods, materials, and formative assessment for K-12 classrooms. Emphasis is on serving the instructional needs of diverse students, including the gifted and talented, culturally and linguistically diverse learners, and children and young people with disabilities. "
EDRDB624,Assessment & Instructional Strategies for Reading for ELLs,(Prerequisite: Department Permission) This course focuses on determining reading and language needs of English learners through the use of screening and diagnostic assessments and using that information to inform teaching of English learners within the classroom setting. Candidates learn to administer quick assessments and design instruction and how instruction varies and students acquire language. Candidates choose one student's data to present in a case study format.  
EDRDB625,Assessment Strategies for Reading Assessment Strategies for Reading,"Teachers will examine various types of assessments that will determine students? strengths and areas for further instruction. Teachers will analyze existing data from multiple levels: individual students, groups of students (class level), grade levels, school, district, state, and national level data. They will explain assessment results and demonstrate the ability to advocate for appropriate literacy practices to relevant stakeholders. Teachers will also be able to locate and administer non-biased assessments to culturally and linguistically diverse student. This course aligns with Read to Succeed Legislation requirements for in-service teachers. "
EDRDB629,Content Area Reading and Writing,"After gaining a sound theoretical knowledge of the reading and writing processes in nonfiction text, teachers will apply what they have learned to their own disciplines, creating strategies that will support students in reading and writing within the context of content area instruction. "
EDRDB632,Action Research for Literacy Education,"Candidates will gain skills necessary for conducting action research in literacy education and coaching.  This includes assessing the needs of teacher/students, identifying research-based interventions, designing and implementing a coaching plan including identification of assessment to document effectiveness of plan, and assessing effectiveness of coaching plan. "
EDRDB640P,Practicum in Assessing & Teaching English Language Learners,"(Prerequisite: Department Permission) Supervised clinical experience in literacy that is implemented within the classroom. Candidates will practice proficiency in planning, assessing, and teaching using various methods of reading and writing that serve the needs of English Language Learners. The main assessment for this course is a diagnostic reading case study. "
EDRMB620,"Educational Research, Design, and Analysis","This course provides an overview of the principles, models, and techniques of educational research. A substantial portion of this course focuses on the acquisition of critical reading skills and on the analysis and interpretation of data produced by educational investigation and inquiry. "
ENGLB101,Composition and Rhetoric,"An introduction to university-level writing, emphasizing the rhetorical approaches necessary to understand other writers' purposes and stances, create effective writing, and develop processed for composing texts for academic, civic, professional, and personal purposes.  "
ENGLB101L,Intensive English Composition Laboratory,"Intensive practice in English composition. Special attention devoted to thesis formation, essay structure, paragraph structure, style and mechanics.  (Students may place out of BENG 101L with a sufficiently high score on USCB?s English Placement Test.)"
ENGLB102,Composition and Literature,"An extension of composition skills developed in ENGL B101 and an introduction to literature, emphasizing the interpretive skills and processes necessary to read complex and imaginative texts creatively, critically, and rhetorically so students can write responses to - and interventions in - the world around them. "
ENGLB105,Enhanced Composition,"For English majors, humanities majors, and all word-lovers: an enhanced version of ENGL B101. An introduction to genres of writing, including (but not limited to) researched arguments."
ENGLB106,Enhanced Composition and Literature,"For English majors, humanities majors, and all word-lovers: an enhanced version of ENGL B102. An introduction to literary interpretation and the writing of researched arguments about literature."
ENGLB180,Introduction to Film,Introduction to critical analysis of film (for all majors).
ENGLB190,Introduction to Journalism and Media Studies,Introduction to practical skills of contributing to and running a print publication supported by analysis of various media and communication paradigms.
ENGLB191,Journalism Laboratory,Supervised participation in the production of the Tidal Tribune. May be repeated for up to 8 credits.
ENGLB200,Introduction to English Studies,"An introduction to the history, present state, and potential futures of English Studies with an emphasis on the distinctive fields, methods, and terminology employed in the discipline of English."
ENGLB211,Editing and Publishing Practicum,Provides students with practical experience in editing and publishing through their work on the critical journal or literary magazine; may be taken up to 6 times for credit.
ENGLB215,Writing Center Practicum,Provides students with ongoing practice and training in teaching and tutoring writing. May be taken up to 6 times for credit.
ENGLB222,Creative Writing Across the Curriculum,"Introductory level workshop designed to foster a student?s appreciation for, and ability to create brief works of adult level fiction, poetry, nonfiction, and drama. Appropriate for students from any discipline."
ENGLB244,Introduction to Rhetorical Theory,This course acquaints students with historic and current rhetorical theory.
ENGLB250,Copyediting and Document Design,"(Prerequisite: ENGL B102 with a grade of 'C' or better) This course gives students an overview of the skills necessary to prepare texts (in a range of media) for publication: copyediting and document design. Students will learn to design texts for greater readability, and to complete document reviews including grammar/style, copyediting notations, and fact-checking."
ENGLB262,Introduction to Technical Writing,"(Prerequisite: ENGL B102 with a grade of 'C' or better) An introduction to the basic concepts, processes, and genres of technical writing. Students practice using technical writing skills to communicate specialized or technical information to non-specialist audiences. Recommended for engineers, scientists, and computer scientists."
ENGLB263,Introduction to Workplace Writing,"(Prerequisite: a grade of C or better in ENGL B102) An introduction to rhetorically-effective writing for workplace audiences, including common workplace genres (e.g. professional emails, reports, and resumes) and practice in collaborative writing, document design, and revision."
ENGLB266,Professional Writing Practicum,"A practicum in professional writing, allowing students to complete projects that employ skills in visual rhetoric, writing, editing, proofreading, and/or research in an on-campus workplace setting. (repeatable twice for credit)"
ENGLB270,World Literature,"Survey of world literature, spanning ancient to postmodern texts."
ENGLB287,American Literature,"Survey of American literature: major authors, genres and periods. Designed for English majors."
ENGLB288,English Literature I,"British poetry, drama and prose from Beowulf to the 18th century. Designed for English majors."
ENGLB289,English Literature II,"British poetry, drama and prose from the 18th century to the present. Designed for English majors."
ENGLB290,Great Books of the West,"Selected masterpieces of Western literature, with emphasis on non-English language texts in translation which are foundational to literature in English, including works by Homer, Dante, Cervantes, Voltaire, Goethe and Flaubert."
ENGLB291,Introduction to Non-Western Literature,{=BCMP 291} Selected masterpieces of non-Western literature. Works may range from antiquity to the present.
ENGLB301,Theatre History I,"A study of the development of Western theatrical texts and practices including playwriting, acting, and design from ancient Greece to 1800."
ENGLB302,Theatre History II,"A study of the development of Western theatrical texts and practices including playwriting, acting, directing, and design from 1800 to the present."
ENGLB310,Reading and Performing Shakespeare,"(Prereq: ENGL B101 or B105, and ENGL B102 or B106, each with a C or higher.) A course about how people read and perform Shakespeare in which students read and perform Shakespeare."
ENGLB322,Playwriting,A workshop approach to playwriting that culminates in each student creating a production-ready one-act play.
ENGLB380,Epic to Romance,{=BCMP 380}  Comprehensive exploration of medieval and other pre-Renaissance literature using texts representative of the evolution of dominant literary forms. 
ENGLB381,The Renaissance,"{=BCMP 381}  Literature of the Renaissance, in its cultural contexts, explored through representative works."
ENGLB382,The Enlightenment,"{=BCMP 382}  Literature of the Enlightenment in its cultural contexts, explored through representative works."
ENGLB419,Topics in English Literature,Intensive study of selected topics. May be repeated for credit under a different suffix.
ENGLB420,Transatlantic Literature,"A study of transatlantic literature, focusing on exchanges, networks, triangulations among writers, and reading practices that challenge national critical and historical traditions."
ENGLB421,American Literature 1830-1860,Poetry and prose of the American Romantic period.
ENGLB422,American Literature 1860-1910,Poetry and prose from the Civil War to the early modern era.
ENGLB423,Modern American Literature,Poetry and prose from 1910 to 1945.
ENGLB424,American Drama,Representative plays from the 18th century to the present.
ENGLB425A,The American Novel to 1914,Representative novels from the 18th century to World War I.
ENGLB425B,The American Novel since 1914,Representative novels from 1914 to the present.
ENGLB426,Contemporary American Literature,Poetry and prose from 1945 to present.
ENGLB427,Southern Literature,Representative works of Southern writers.
ENGLB428,African-American Literature,Representative works of African-American writers.
ENGLB429,Topics in American Literature,Intensive study of selected topics. May be repeated for credit under a different suffix.
ENGLB430,Poetry,"Seminar that focuses on poetic genres and forms through a study of particular texts and writers, or networks of texts and writers."
ENGLB432,Literature for Young Adults,Literature written for and about adolescents.
ENGLB435,Historical Literature,A study of historical literature composed during and/or about a particular period.
ENGLB437,Women Writers,Representative works written by women.
ENGLB439,Selected Topics in English,"Intensive study of selected themes, topics, currents of thought or interdisciplinary concerns. May be repeated for credit under a different suffix."
ENGLB440,Principles of Modern Literary Theory,"Major 20th-century approaches to texts, from New Criticism to the present."
ENGLB441,History of Literary Criticism and Theory,Representative theories of literature from Plato through the 20th century.
ENGLB442,Principles of Modern Literary Theory,"Major 20th-century approaches to texts, from New Criticism to the present."
ENGLB450,Modern English Grammars,Major structures of English morphology and syntax; role of language history and social and regional variation in understanding contemporary English.
ENGLB453,Development of the English Language,"{=BLIN 431}  English from Indo-European through Germanic and into Old English, Middle English and Modern English. No previous knowledge of Old English or Middle English is required."
ENGLB460,Professional Writing Workshop,"Upper-division writing workshop course, focusing on the study and practice of professional writing. Course may be taken twice for credit."
ENGLB461,Writing in the Health Professions,"(Prereq: ENGL B101 or B105, and ENGL B102 or B106, each with a grade of 'C' of higher.) Preparation for and practice in types of writing important to those working within the health care and health promotion industry, from brief letters to formal articles and reports."
ENGLB462,Technical Writing,"Preparation for and practice in types of writing important to scientists, engineers and computer scientists, from brief technical letters to formal articles and reports."
ENGLB463,Business Writing,"Extensive practice in different types of business writing, from brief letters to formal articles and reports."
ENGLB464,Poetry Workshop,May be repeated with consent of instructor for a maximum of 6 credit hours.
ENGLB465,Fiction Workshop,May be repeated with consent of instructor for a maximum of 6 credit hours.
ENGLB466,Writing Internship,"(Prereq: Departmental permission.)  Internship in writing, editing, proofreading, and/or research with a community organization or publication, with training in writing effectively for diverse audiences in a workplace setting.  (Can be repeated for a maximum of 6 credit hours.)"
ENGLB469,Teaching of Reading,"(Prerequisite: ENGL B101, ENGL B102, and EDCI B100 or special permission from Program Coordinator for Secondary English Education) This course provides grade 7-12 ELA teachers with strategies for teaching literacy within the framework of ELA classes. The course teaches a sound theoretical knowledge of academic vocabulary, nonfiction and fiction texts structures, and strategies for analyzing and teaching texts "
ENGLB470,The Teaching of Writing,"(Prerequisite: ENGL B101 or B105, and ENGL B102 or B106, each with a grade of C or higher)Theory and methods of teaching composition and extensive practice in various kinds of writing. Recommended for prospective writing teachers."
ENGLB472,Cinema,An investigation into the aesthetics of cinema. The course will also focus on the major genres.
ENGLB472L,Cinema Laboratory,{=BTHE 472L} Required viewing for BENG 472.
ENGLB480,Secondary ELA Methods,"(Prerequisite: Admission to professional program in education; Corequisite: ENGL B481) This course will provide an introduction to and examination of practices for ELA instruction and will encompass issues of pedagogy, lesson planning, development of instructional materials, classroom management, diversity, access, and equity. "
ENGLB481,Secondary ELA Practicum,(Prerequisite: Admission to professional program in education or approval by department chair; Corequisite: ENGL B480) Supervised clinical experience in a secondary ELA setting. Observation and participation in a classroom setting is required.   
ENGLB482,Secondary ELA Seminar,(Prerequisite: Admission to professional program in education or approval by department chair; Corequisite: ENGL B483) This course will provide both theoretical discussions of ELA pedagogy and support to students as they complete their internship. 
ENGLB483,Secondary ELA Internship,"(Prerequisite: Admission to professional program in education, or approval by department chair; 100 hours of previous field experience; Corequisite: ENGL B482) Supervised clinical experience in a secondary ELA setting. Observation and participation in a classroom setting is required. "
ENGLB490,Professionalization in English Studies,"(Prerequisite: Senior standing in English or department approval) A professional development course connecting the knowledge, skills, and experiences of the English major to advanced exploration of and active preparation for opportunities after graduation.  "
ENGLB491,English Capstone,(Prerequisite: English or English Education major; Department Consent; Must be taken during final semester) Students? analytical reflection and writing about their program through the creation of a digital portfolio
ENGLB497,Reading for Senior Thesis,"Directed reading in preparation for senior thesis in literature.  (Prereq: Junior standing, and approval of the instructor.)"
ENGLB498,Senior Thesis,This seminar provides a capstone experience for English majors. Students will work both independently and within a classroom setting to complete a substantial writing project.  (Prereqs: Senior standing with GPA of 3.0 within English major and departmental approval. Students pursuing a concentration who have completed at least 6 hours of writing courses within their concentration with grades of B or better may register for Seminar in Creative/Professional Writing.)
FRENB295,Topics in French Culture,(Prereq: FREN B110 or equivalent) Intensive one-term study of a particular topic identified by suffix and title.  Course taught in English.
ENGLB499,Senior Thesis,The senior thesis provides a capstone experience for English majors. Students will work independently and with the professor to complete a substantial writing project (Prereqs: Senior standing with GPA of 3.0 within English major and departmental approval. Students pursuing a concentration who have completed at least 6 hours of writing courses within their concentration with grades of B or better may register for Thesis in Creative/Professional Writing.)
ENGRB101,Introduction to Engineering,Engineering problem solving using computers and other engineering tools.
ENTRB300,Introduction to Entrepreneurial Thinking & Innovation,"(Prerequisite: Sophomore standing) This introductory course focuses on exploring the concepts of innovation and entrepreneurship in the context of today's world, and exploring one's own entrepreneurial spirit. Through self-assessment, the student will learn to capitalize on personal strengths and develop skills that lead to innovative thinking.  "
ENTRB400,Leading Diverse Teams,"(Prerequisite: Junior Standing) This course explores contemporary leadership practices with an emphasis on leading diverse teams. Students explore best practices that support diversity, equity, and inclusion to create dynamic, forward-thinking teams. "
ENTRB450,Innovation & Entrepreneurial Studies Practicum,(Prerequisite: BADM B380 or consent of instructor) This course focuses on the application of problem-solving skills to reinvent and/or pioneer innovative practices through project development in a field experience. 
ENTRB499,Special Topics in Innovation & Entrepreneurship,"(Prerequisite: ENTR B300 or Junior standing) This course examines advanced concepts, emerging trends and best practices related to entrepreneurial thinking and innovation in the workplace. Topics may include interdisciplinary approaches to teamwork and collaboration, workplace practices and policies, ethics and values with entrepreneurial approaches to affect change.   "
FRENB101,Beginning French I,"(Admission is restricted to those who have never studied French, or who have not studied French in the previous five years, or who test into this course in the USCB placement exam.) Introduction to grammar and practical vocabulary necessary for fundamental communication skills."
FRENB102,Beginning French II,Introduction to grammar and practical vocabulary necessary for fundamental communication skills.
FRENB109,Beginning French I,"Introduction to grammar and practical vocabulary necessary for fundamental communication skills. Admission to 109 restricted to those who have never studied French, who have not studied French in the previous five years, or who have a score of F-1 on the placement test."
FRENB110,Beginning French II,(Prereq: BFRE 109 or by placement) Introduction to grammar and practical vocabulary necessary for fundamental communication skills.
FRENB122,Basic Proficiency in French,"(Prereq: FREN B110 or by placement) Practice and further development of essential listening, reading, speaking and writing skills."
FRENB201,Reading and Written Expression,"Readings in French; grammar, writing, speaking, listening, and composition at the intermediate level."
FRENB202,Oral Communication,Practice in conversation involving authentic materials; vocabulary building at the intermediate level.
FRENB209,Reading and Written Expression,"(Prereq: FREN B122 or score of F-5 on placement exam) Readings in French; grammar, basic writing and composition."
FRENB210,Oral Communication,(Prereq: FREN B122 or score of F-5 on placement exam) Practice in conversation involving authentic listening materials; vocabulary building.
FRENB290,French Literature in Translation,"Readings and discussion in English, with consideration of the cultural context."
FRENB301,Advanced Conversation and Grammar,(Prereq: BFRE B202 or equivalent or consent of instructor; BFRE 201 strongly recommended) Current issues and events presented in French-language media. Discussion and presentations in French provide practice with advanced structures and idiomatic speech.
FRENB302,Advanced Composition and Grammar,Practice in French composition; intensive review of French grammar.
FRENB310,Advanced Oral Communication,(Prereq: BFRE B210 or equivalent or consent of instructor; BFRE 209 strongly recommended) Current issues and events presented in French-language media. Discussion and presentations in French provide practice with advanced structures and idiomatic speech.
FRENB311,French Composition,Practice in French composition; intensive review of French grammar.
FRENB316,Introduction to Business French,(Prereq: BFRE 301 or consent of instructor) Practical oral and written communication in a commercial context; introduction to business terminology and correspondence. 
