Academic Term,Course Campus,Course Identification,Subject,Subject Description,Course Number,Status,Status Description,Schedule Type,College,College Description,Dept,Department Description,Minimum Credit,Maximum Credit,Title Short Description,Title Long Description,Course Description,Default Grade Mode Description
Fall 2023,Beaufort,CSCIB515,CSCI,CSCI - Computer Science,B515,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Topics in Computational Sci,Topics in Computational Science,"(Prerequisite: undergraduate programming experience or CSCI B500 or consent of instructor) Selected topics in computational science. May be repeated under different topics. 
",Standard Letter
Fall 2023,Beaufort,CSCIB516,CSCI,CSCI - Computer Science,B516,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Data Communications & Networks,Data Communications and Networks,"(Prerequisite: undergraduate programming experience or CSCI B500 or consent of instructor) Advanced topics in data communications, architecture,
communication protocols, topologies, network access control, LANs, MANs, and WANs; internetworking.
",Standard Letter
Fall 2023,Beaufort,CSCIB520,CSCI,CSCI - Computer Science,B520,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Advanced Topics Database Sys,Advanced Topics in Database Systems,"(Prerequisite: CSCI B320 [or demonstrated equivalent knowledge/experience], or consent of instructor) Advanced data-processing techniques, software, database design, implementation, and manipulation.
",Standard Letter
Fall 2023,Beaufort,CSCIB522,CSCI,CSCI - Computer Science,B522,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Data Mining,Data Mining,"(Prerequisite: CSCI B501 and CSCI B502 [or demonstrated equivalent knowledge/experience]) Concepts, issues, tasks and techniques of data mining. Topics include data preparation, feature abstraction, association, classification, clustering, evaluation and validation, scalability, spatial and sequence mining, and data mining applications.
",Standard Letter
Fall 2023,Beaufort,CSCIB550,CSCI,CSCI - Computer Science,B550,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Systems Modeling & Simulation,Systems Modeling and Simulation,"(Prerequisite: CSCI B500, B501, and B502, or consent of instructor) Introduction of computational tools, models, system dynamics, input and output
analysis, and performance analysis.",Standard Letter
Fall 2023,Beaufort,CSCIB563,CSCI,CSCI - Computer Science,B563,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Digital Image Processing,Digital Image Processing,"(Prerequisite: CSCI B500, B501, and B502 [or demonstrated equivalent knowledge/experience]) Computational techniques in image processing and analysis.",Standard Letter
Fall 2023,Beaufort,CSCIB566,CSCI,CSCI - Computer Science,B566,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Data Visualization,Data Visualization,"(Corequisite: CSCI B501 and CSCI B502 or consent of instructor) Advanced techniques and algorithms for creating effective visualizations based on
principles from graphic design, visual art, perceptual psychology, and cognitive science.",Standard Letter
Fall 2023,Beaufort,CSCIB569,CSCI,CSCI - Computer Science,B569,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,High Performance Computing2a,High Performance Computing,"(Prerequisite: CSCI B500 & B501; Corequisite: CSCI B502; or consent of instructor) Introduction of the design, analysis, and implementation of high
performance computational science and engineering applications using advanced computer architectures, parallel algorithms, parallel languages, and
performance-oriented computing facilities. 
",Standard Letter
Fall 2023,Beaufort,CSCIB570,CSCI,CSCI - Computer Science,B570,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Software Sys Design & Implemen,Software System Design and Implementation,"(Prerequisite: CSCI B500 [or demonstrated equivalent knowledge/experience] or consent of instructor) Techniques involved in the planning and
implementation of real-life software systems. Topics include software planning, design, implementation, testing, and documentation.",Standard Letter
Fall 2023,Beaufort,CSCIB599,CSCI,CSCI - Computer Science,B599,A,Active,Independent Study,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Independent Study,Independent Study,Research under the supervision of a faculty member.,Standard Letter
Fall 2023,Beaufort,CSCIB599,CSCI,CSCI - Computer Science,B599,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Independent Study,Independent Study,Research under the supervision of a faculty member.,Standard Letter
Fall 2023,Beaufort,CSCIB601,CSCI,CSCI - Computer Science,B601,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Principles of Computer Securit,Principles of Computer Security,"Prerequisite: CSCI B201 [or demonstrated equivalent knowledge/experience] or consent of instructor) Principles and practices of computer system
security including operating system security, network security, software security and web security.",Standard Letter
Fall 2023,Beaufort,CSCIB622,CSCI,CSCI - Computer Science,B622,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Data Management & Analytics,Data Management and Analytics,"(Prerequisite: CSCI B520 [or demonstrated equivalent knowledge/experience] or consent of instructor) Foundations of data analytics. Concepts and
skills for relational data modeling, querying, and management.",Standard Letter
Fall 2023,Beaufort,CSCIB699,CSCI,CSCI - Computer Science,B699,A,Active,Internship / Cooperative,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,1,3,Industrial/Research Internship,Industrial or Research Internship,"Practical full-time work experience in an area of Computational Science, selected by the student and approved by the Department Chair or
Computational Science Program Coordinator.",Standard Letter
Fall 2023,Beaufort,CSCIB699,CSCI,CSCI - Computer Science,B699,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,1,3,Industrial/Research Internship,Industrial or Research Internship,"Practical full-time work experience in an area of Computational Science, selected by the student and approved by the Department Chair or
Computational Science Program Coordinator.",Standard Letter
Fall 2023,Beaufort,CSCIB797,CSCI,CSCI - Computer Science,B797,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,6,Research Project,Research Project,"Research in Computational Science. Repeatable as needed, with approval from the Computer Science department chair.
",Pass/Fail
Fall 2023,Beaufort,CSCIB797,CSCI,CSCI - Computer Science,B797,A,Active,Thesis,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,6,Research Project,Research Project,"Research in Computational Science. Repeatable as needed, with approval from the Computer Science department chair.
",Pass/Fail
Fall 2023,Beaufort,CSCIB799,CSCI,CSCI - Computer Science,B799,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,6,Master's Thesis,Master's Thesis,"Preparation of a thesis for the master's degree. Repeatable as needed, with approval from the Computer Science department chair.
",Pass/Fail Grad Lvl AIK/UPS
Fall 2023,Beaufort,CSCIB799,CSCI,CSCI - Computer Science,B799,A,Active,Thesis,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,6,Master's Thesis,Master's Thesis,"Preparation of a thesis for the master's degree. Repeatable as needed, with approval from the Computer Science department chair.
",Pass/Fail Grad Lvl AIK/UPS
Fall 2023,Beaufort,CSXEB200,CSXE,CSXE - Computational Engr,B200,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2CSC,USC-B Computer Science,3,,Statics,Statics,"(Prerequisite: MATH B142) Principles of computational mechanics; equilibrium of particles and rigid bodies; distributed forces, centroids, and centers
of pressure, mass, and gravity; moments of inertia; analysis of simple structures and machines.",Standard Letter
Fall 2023,Beaufort,CSXEB211,CSXE,CSXE - Computational Engr,B211,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2CSC,USC-B Computer Science,3,,Eng Graphics and Visualization,Engineering Graphics and Visualization,"(Prerequisite: PHYS B211 or consent of instructor) Principles and practice of visualization and graphical representation using modern computer-aided
design tools.",Standard Letter
Fall 2023,Beaufort,CSXEB260,CSXE,CSXE - Computational Engr,B260,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2CSC,USC-B Computer Science,3,,Solid Mechanics,Solid Mechanics,"(Prerequisite: CSXE B200) Basic concepts of stress and strain. Behavior of structures under applied loads including forces, torques, moments and
combinations thereof. Deformations of elastic relationships between stress and strain.",Standard Letter
Fall 2023,Beaufort,CSXEB290,CSXE,CSXE - Computational Engr,B290,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2CSC,USC-B Computer Science,3,,Thermodynamics,Thermodynamics,"(Prerequisite: MATH B240, PHYS B211 or consent) Definitions, work, heat, energy. First law analysis of systems and control volumes. Second law analysis.
",Standard Letter
Fall 2023,Beaufort,CSXEB310,CSXE,CSXE - Computational Engr,B310,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2CSC,USC-B Computer Science,3,,Dynamics,Dynamics,"(Prerequisite: CSXE B200.) Kinematics of particles and rigid bodies. Kinetics of particles, emphasis on Newton’s second law: energy and momentum
methods for the solution of problems. Applications of plane motion of rigid bodies.",Standard Letter
Fall 2023,Beaufort,CSXEB327,CSXE,CSXE - Computational Engr,B327,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2CSC,USC-B Computer Science,3,,Design of Mechanical Elements,Design of Mechanical Elements,"(Prerequisite: CSXE B260.) Design against static failure and fatigue failure of structural members and machine parts; design and selection of components including fasteners, welds, shafts, springs, gears, bearings, and chain drives.",Standard Letter
Fall 2023,Beaufort,ECONB101,ECON,ECON - Economics,B101,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2BUC,USC-B Business & Comm,3,,Consumer Economics,Consumer Economics,"This introductory survey course provides students with an understanding of the basic elements of consumer economics and personal finance. The course is designed to assist students in becoming informed, rational, decision-makers. Topics include planning and budgeting, credit, consumer rights, consumers and markets, marginal analysis and taxes.
",Standard Letter
Fall 2023,Beaufort,ECONB221,ECON,ECON - Economics,B221,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2BUC,USC-B Business & Comm,3,,Microeconomics,Microeconomics,"(Prerequisite: MATH B111 with a grade of ‘C’ or higher) Microeconomic analysis theory of the firm, market structure, cost and output determination;
market pricing; income distribution and international economics.",Standard Letter
Fall 2023,Beaufort,ECONB222,ECON,ECON - Economics,B222,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2BUC,USC-B Business & Comm,3,,Macroeconomics,Macroeconomics,"Macroeconomic analysis: basic definitions and concepts: mechanics of pricing and the fundamentals of American capitalism; national income economics, income and employment theory and monetary and fiscal policy.",Standard Letter
Fall 2023,Beaufort,ECONB301,ECON,ECON - Economics,B301,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2BUC,USC-B Business & Comm,3,,Money and Banking,Money and Banking,"(Prerequisites: ECON B221, B222) The role of money in the market economy. Commercial banks, the Federal Reserve System and monetary policy.
",Standard Letter
Fall 2023,Beaufort,ECONB303,ECON,ECON - Economics,B303,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2BUC,USC-B Business & Comm,3,,The International Economy,The International Economy,"(Prerequisites: ECON B221, B222) Survey of international economic issues and institutions, from a historical point of view including the interconnections of economies around the world.",Standard Letter
Fall 2023,Beaufort,ECONB311,ECON,ECON - Economics,B311,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2BUC,USC-B Business & Comm,3,,Issues in Economics,Issues in Economics,"(Prerequisites: ECON B221, B222) The nature and causes of major economic problems facing the nation and its communities and policy alternatives
designed to solve them. The philosophy and methodology of economics in social problem solving.
",Standard Letter
Fall 2023,Beaufort,ECONB364,ECON,ECON - Economics,B364,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2BUC,USC-B Business & Comm,3,,Financial Institutions,Financial Institutions,"(Prerequisites: ECON B221, B222) A study of the functions and operations of financial institutions and their relationships to the commercial banking
system and the general economy. Attention is devoted to savings institutions, insurance companies, rural and urban real estate credit, consumer credit and associated topics.",Standard Letter
Fall 2023,Beaufort,ECONB406,ECON,ECON - Economics,B406,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2BUC,USC-B Business & Comm,3,,Labor Economics,Labor Economics,"(Prerequisites: ECON B221, B222) A study of labor market institutions, trends in labor market activity and the effects of government policy on the labor market.",Standard Letter
Fall 2023,Beaufort,EDCIB100,EDCI,"EDCI - Curriculum, Instruction",B100,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,Clinical Obsrvation & Analysis,Clinical Observation & Analysis,"Clinical experience in an early childhood setting. Observation and analysis in classroom setting includes focus on the following topics: learning climate, classroom management, lesson clarity, instructional variety, task orientation, leaning process, student success, performance outcomes and higher thought processes.",Standard Letter
Fall 2023,Beaufort,EDCIB201,EDCI,"EDCI - Curriculum, Instruction",B201,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,Teacher Cadet II,Teacher Cadet II,"(Prerequisite: EDCI B100) This course focuses on the dynamics of human learning and the psychological principles that serve as the foundation for
educational practice. The general goal is to provide a basic introduction to research findings from the discipline of psychology that can be used to inform the planning and implementation of effective instructional practices in the classroom.
",Standard Letter
Fall 2023,Beaufort,EDCIB220,EDCI,"EDCI - Curriculum, Instruction",B220,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,4,,Intro to Life Science Educatio,Introduction to Life Science Education,"Students will engage in the major themes (principles) of biology through active inquiry and hands-on learning experiences. This course includes exploring topics in evolution, biological systems, energy transfer, exploring natural phenomena through the research process, and, the nature of science. The course includes three-hour lectures and three hours of laboratory practices. Students will explore the Next Generation of Science Standards K-16 science and engineering practices and crosscutting concepts.
",Standard Letter
Fall 2023,Beaufort,EDCIB243,EDCI,"EDCI - Curriculum, Instruction",B243,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,Resources in Teaching,Resources in Teaching,"(Prerequisite or Co-requisite: EDCI B100) Introduction to technological resources relevant to the teaching profession including computer technology,
educational software, and telecommunications. This course focuses on examining how applying technology in the classroom can be used to support
teaching and learning and addresses the methods and materials used for technology integration.",Standard Letter
Fall 2023,Beaufort,EDCIB320,EDCI,"EDCI - Curriculum, Instruction",B320,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,"Curriculum Planning,Technology","Curriculum Planning, Technology, and Assessment in Secondary Education","(Prerequisite or Corequisite: EDCI B100) Explores issues of development and education of adolescents including curriculum, instruction, activities,
materials, and authentic assessment. Prospective teachers will understand the importance of differentiation and technology integration at all levels of
instruction and assessment. Parental involvement, community resources, and collaborative relationships with specialists are included components of
this course.",Standard Letter
Fall 2023,Beaufort,EDCIB322,EDCI,"EDCI - Curriculum, Instruction",B322,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,Cultural Diversity in Educ,Cultural Diversity in Education,"This course prepares students to demonstrate an understanding of the depth and breadth of cultural diversity within the United States, as well as the
ways that the intersections of cultures within the classroom shape teaching and learning outcomes.
",Standard Letter
Fall 2023,Beaufort,EDCIB399,EDCI,"EDCI - Curriculum, Instruction",B399,A,Active,Independent Study,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,1,6,Independent Study in Education,Independent Study in Education,(Prerequisite: Contract approval is required).,Standard Letter
Fall 2023,Beaufort,EDCIB399,EDCI,"EDCI - Curriculum, Instruction",B399,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,1,6,Independent Study in Education,Independent Study in Education,(Prerequisite: Contract approval is required).,Standard Letter
Fall 2023,Beaufort,EDCIB400,EDCI,"EDCI - Curriculum, Instruction",B400,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,Selected Topics in Education,Selected Topics in Education,"Intensive study of selected topics, themes, and/or interdisciplinary concerns in education. Course and content varies and will be announced in the
schedule of classes by topic title. Topics may include: Gifted Education; Teaching English Language Learners; Play, Music and Movement in Early
Childhood Education; Classroom Management, Assessment & Approaches in Differentiating Instruction, etc. May be repeated under different topics.",Standard Letter
Fall 2023,Beaufort,EDCIB441,EDCI,"EDCI - Curriculum, Instruction",B441,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,Org Mgmt in Diverse Classroom,Organization and Management in the Diverse Classroom,"(Prerequisite: Admission to the Department of Education's Teacher Education Professional Program for Elementary Education or Early Childhood
Education) Structuring of the physical, social, and instructional environment to maximize learning in a supportive, diverse classroom. Development of a comprehensive understanding of practice, proactive, and reactive approaches to management with attention to motivation and culturally diverse
settings will be addressed. Behaviorists and constructivist approaches, inclusive education, ESOL learner needs, conflict resolution, and the promotion of learning communities are components of this course.",Standard Letter
Fall 2023,Beaufort,EDCIB442,EDCI,"EDCI - Curriculum, Instruction",B442,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,Org & Management in Secondary,Organization & Management in the Secondary Classroom,"(Prerequisite: Admission into the Professional Program) Structuring of the physical, social, and instructional environment to maximize learning in a supportive, diverse secondary classroom. Development of a comprehensive understanding of practice, proactive, and reactive approaches to management with attention to motivation and culturally diverse settings will be addressed. Behaviorist and constructivist approaches, inclusive education, ESOL learner needs, conflict resolution, ABC Analysis, and the promotion of learning communities are components of this course.
",Standard Letter
Fall 2023,Beaufort,EDCIB599,EDCI,"EDCI - Curriculum, Instruction",B599,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,1,3,Selected Topics in Education,Selected Topics in Education,"(Prerequisite: Permission of Instructor) Introduction to topics in education. Course content varies and will be determined by instructor.
",Standard Letter
Fall 2023,Beaufort,EDECB340,EDEC,EDEC - Early Childhood Educ,B340,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,Education of the Young Child,Education of the Young Child,"(Prerequisite or Co-requisite: EDCI B100). A study of the physical, emotional, intellectual and social components of development, birth through age eight and their relationship to the education of the young child birth - age eight. Diagnosis and assessment of development are addressed. Programs serving young children and their families will be discussed. The administration of these programs as well as advocacy efforts are included. Observation and participation in early childhood settings is required.",Standard Letter
Fall 2023,Beaufort,EDECB342,EDEC,EDEC - Early Childhood Educ,B342,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,Curriculum Plan and Dev in ECE,Curriculum Planning and Development in Early Childhood Education,"(Prerequisite or Co-requisites: EDCI B100; EDEC B340; EDPY B335). This curriculum course is designed for prospective teachers in the nursery,
kindergarten and primary schools. The course explores various issues involved in the development and education of children from the ages of four to
eight. Attention is given to learning activities, materials and equipment suitable for teaching at this level. Emphasis is given to appropriate methods for
assessment of children ages four through eight and to the relationship of various subject areas to the physical, social, emotional and cognitive
development of the child. Philosophy, history of early childhood education, classroom management, societal influences, parental involvement and
community resources are included.",Standard Letter
Fall 2023,Beaufort,EDECB345,EDEC,EDEC - Early Childhood Educ,B345,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,Family Life in Early Childhood,Family in Early Life Childhood,"(Prerequisite: PSYC B209 or PSYC B321; Admission to the Professional Program in Education or consent of the Department Chair) Principles, practices and content of family life and family-school relations as related to young children’s learning and development in various settings during the early childhood years, birth through eight. This course will provide a foundation for using family life knowledge in relating to young children and families in effective ways.",Standard Letter
Fall 2023,Beaufort,EDECB435,EDEC,EDEC - Early Childhood Educ,B435,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,Math Experiences in ECE,Math Experiences in Early Childhood Education,"(Prerequisite: EDCI B100; Admission to the Professional Program in Education or consent of the Department Chair; Co-requisites: EDEC B436, EDEC B444, EDEC B440P). This methods course includes the basic content of the academic area of mathematics to be presented to PreK-3rd grade children. Developmentally appropriate experiences, learning activities, materials and equipment to aid in the development of math concepts in young children are presented. Diversity-related influences and needs of exceptional learners are also addressed.",Standard Letter
Fall 2023,Beaufort,EDECB436,EDEC,EDEC - Early Childhood Educ,B436,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,Science and Soc Studies ECE,Science and Social Studies Experiences in Early Childhood Education,"(Prerequisite: EDCI B100; Admission to Professional Program in Education or consent of the Department Chair; Co-requisites: EDEC B435, EDEC B444, EDEC B440P). This methods course includes the basic content in the inquiry areas of science and social studies to be presented to PreK - 3rd grade children. Developmentally appropriate inquiry experiences, learning activities, materials and equipment are presented. Diversity-related influences and needs of exceptional learners are also addressed.",Standard Letter
Fall 2023,Beaufort,EDECB440P,EDEC,EDEC - Early Childhood Educ,B440P,A,Active,Practicum,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,Practicum: Lessons in ECE,Practicum: Teaching Integrated Lessons in Early Childhood Education,"(Prerequisite: Admission to the Professional Program or consent of the Department Chair; Co-requisite EDEC B435, EDEC B436, and EDEC B444).
Supervised clinical experience in an early childhood setting. Teacher candidates will apply principles of planning, instruction, assessment, management, and professionalism in diverse field-based settings serving students in grades P-3. Offered in Fall.",Pass/Fail
Fall 2023,Beaufort,EDECB469,EDEC,EDEC - Early Childhood Educ,B469,A,Active,Internship / Cooperative,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,12,,Internship in ECE,Internship in Early Childhood Education,(Prerequisite: Admission to the Professional Program in Education and the Internship; Co-requisite: EDEC B476) A program of observation and teaching in the public schools under the supervision of university and public school personnel.,Pass/Fail
Fall 2023,Beaufort,EDECB476,EDEC,EDEC - Early Childhood Educ,B476,A,Active,Seminar,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,Senior Seminar,Senior Seminar in Early Childhood Education,"(Co-requisite: EDEC B469) The synthesis and critical evaluation of professional studies in early childhood education. 
",Standard Letter
Fall 2023,Beaufort,EDELB320,EDEL,EDEL - Elementary Education,B320,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,"Cirriculum Plan, Dev and Assmt","Cirriculum Planning, Development and Assessment in the Elementary School","(Prerequisite or Co-requisite: EDCI B100) This course explores issues involved in the development and education of children including curriculum,
instruction, activities, materials, grouping, grading and appropriate methods of authentic assessment, as well as analysis of standardized test results in relation to the physical, social, emotional, and cognitive development of grade 2-6 learners for optimal learning. Parental involvement, community
resources and collaborative relationships with specialists are included components of this course.",Standard Letter
Fall 2023,Beaufort,EDELB330,EDEL,EDEL - Elementary Education,B330,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,Arts in Elementary Education,"Intergrating the Arts in Elementary Education: Art, Music and Movement","(Prerequisite or Co-requisite: EDCI B100) Provides opportunities to develop competence in selecting and using a variety of high quality instructional
methods, resources, and assessment strategies for teaching art, music, and movement to elementary children.",Standard Letter
Fall 2023,Beaufort,EDELB431,EDEL,EDEL - Elementary Education,B431,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,Teach Math in Elementary Schls,Teaching Mathematics in the Elementary School,"(Prerequisite: Admission to the Department of Education's Professional Program for Elementary Education) Materials, resources, programs, and
methods for teaching mathematics to diverse learners in grades 2-6. Problem solving, mathematical content and process connections, as well as
assessment, diagnosis, and remediation will be addressed. Included are supervised practicum experiences that promote reflective teaching in
elementary school settings.
",Standard Letter
Fall 2023,Beaufort,EDELB432,EDEL,EDEL - Elementary Education,B432,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,Tching Science Elementary Schs,Teaching Science in the Elementary School,"(Prerequisite: Admission to the Department of Education's Professional Program for Elementary Education) Materials, resources, programs, and
methods for teaching science in an inquiry format to diverse learners in grades 2-6. Included are supervised practicum experiences that promote
reflective teaching in elementary school settings.",Standard Letter
Fall 2023,Beaufort,EDELB434,EDEL,EDEL - Elementary Education,B434,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,Lang Arts in Elementary Schls,Language Arts in the Elementary School,"(Prerequisite: EDCI B100, EDRD B218 and admission to the Department of Education's Teacher Education Professional Program for Elementary
Education) This course focuses on methods of teaching language arts and writing in grades 2-6. Course content includes strategies for teaching the
conventions of language, the writing process, writing traits, assessment methods, and incorporating content area reading and writing.",Standard Letter
Fall 2023,Beaufort,EDELB440P,EDEL,EDEL - Elementary Education,B440P,A,Active,Practicum,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,Math/Science Practicum,Math/Science Practicum,"(Prerequisite: Admission to the Professional Program or permission of the Department Chair; Co-requisite EDEL B431, EDEL B432, and EDEL B434)
Supervised clinical experience in an elementary education setting. Teacher candidates will apply principles of planning, instruction, assessment,
management, and professionalism in diverse field-based settings serving students in grades 2-6. Offered in Fall.
",Pass/Fail
Fall 2023,Beaufort,EDELB443,EDEL,EDEL - Elementary Education,B443,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,Tching Social Studies in Elem,Teaching Social Studies in the Elementary School,"(Prerequisite: Admission to the Department of Education's Professional Program for Elementary Education) Materials, resources, programs, and
methods for teaching social studies to grades 2-6 for learners to become well-informed citizens in a culturally diverse and democratic society. Included are supervised practicum experiences that promote reflective teaching in the elementary school setting.
",Standard Letter
Fall 2023,Beaufort,EDELB470,EDEL,EDEL - Elementary Education,B470,A,Active,Internship / Cooperative,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,12,,Internship in Elementary Schl,Internship in Elementary School,(Prerequisite: Admission to the Professional Program in Elementary Education; Co-requisite: EDEL B476) A program of observation and teaching in the public schools under the supervision of university and public school personnel.,Pass/Fail
Fall 2023,Beaufort,EDELB476,EDEL,EDEL - Elementary Education,B476,A,Active,Seminar,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,Senior Seminar,Senior Seminar,"(Co-requisite: EDEL B469) The synthesis and critical evaluation of professional studies in elementary education.
",Standard Letter
Fall 2023,Beaufort,EDEXB300,EDEX,EDEX - Exceptional Children,B300,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,Intro Exceptional Learner,Introduction to Exceptional Learner,"(Admission to the Professional Program or consent of Department Chair). A survey of the development of special education, the current legal guidelines with emphasis on public school mandates, the various clusters of exceptionalities: their definition, classification, identification, prevalence, causes, characteristics and educational needs, including mainstreaming in the regular classroom.
",Standard Letter
Fall 2023,Beaufort,EDEXB301,EDEX,EDEX - Exceptional Children,B301,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,Intro to Exceptional Populatio,Introduction to Exceptional Populations at the Secondary Level,"(Prerequisite: EDRD B319 & EDCI B320) Introductory course designed to survey the development of special education in high school settings; the current legal guidelines with emphasis on public school mandates; the various clusters of exceptionalities, their definitions, classification, identification, prevalence, causes, characteristics, education needs; and the inclusion of students with exceptionalities within the general education classroom at the secondary level.",Standard Letter
Fall 2023,Beaufort,EDFOB321,EDFO,EDFO - Educ - Foundations,B321,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,Foundations of American Edu,Foundations of American Education,"Extensive treatment of social, political, economic and philosophical influences that have shaped public education. Study of the financial, organizational and legal aspects of education. Library assignments provide a working knowledge of professional standard references and journals.",Standard Letter
Fall 2023,Beaufort,EDMEB430,EDME,EDME - Mathematics Education,B430,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,Teaching Math in Secondary Sch,Teaching Mathematics in the Secondary School,"(Co-requisite: EDME B430P) This course includes teaching methods for secondary mathematics education.
",Standard Letter
Fall 2023,Beaufort,EDMEB430P,EDME,EDME - Mathematics Education,B430P,A,Active,Practicum,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,3,,Practicum in Teaching Math Sec,Practicum in Teaching Mathematics in the Secondary School,(Co-requisite: EDME B430) Supervised clinical experience in a secondary mathematics setting. Observation and participation in a classroom setting is required.,Pass/Fail
Fall 2023,Beaufort,EDMEB469,EDME,EDME - Mathematics Education,B469,A,Active,Internship / Cooperative,2A,Univ of S Carolina Beaufort,2EDU,USC-B Education,12,,Internship Secondary Math Edu,Internship in Secondary Mathematics Education,"(Co-requisite: EDME B476) A program of observation and teaching secondary mathematics in the public schools under the supervision of university and public school personnel. 
",Pass/Fail
