CourseID,CourseNumber,Title,MinCreditHours,MaxCreditHours,CourseDescription,GradeType,Course_type,SubjectID
258,B207,Computer System Administration,3,NULL,"{ CSCI B207} (Prerequisite: CSCI B145 and B150) Account maintenance, backups, restoration, system configuration, resource allocation and monitoring, network management, peripheral administration, emphasis on Microsoft Windows and UNIX/Linux systems.",Standard Letter,Lecture,39
259,B207,Computer System Administration,3,NULL,"{ ISAT B207} (Prerequisite: CSCI B145 and B150) Account maintenance, backups, restoration, system configuration, resource allocation and monitoring, network management, peripheral administration, emphasis on Microsoft Windows and UNIX/Linux systems.",Standard Letter,Lecture,13
260,B104,Computing in Matlab,NULL,NULL,NULL,NULL,NULL,13
261,B105,"Concepts, Comm, Calculations",3,NULL,"This course introduces concepts essential to basic nursing practice. Nursing's historical evolution as a profession through theory, concept and role development will be presented. An overview of medical terminology and medical calculations is provided as skills that promote patient safety within the health disciplines. Written communication skills for the professional nurse will be presented. Students will be introduced to the difference between scholarly and non-scholarly sources.",Standard Letter,Lecture,51
262,B364,Conference and Mtg Planning,3,NULL,(Prerequisite: HRTM B260) Planning and managing conferences and meetings in the tourism industry.,Standard Letter,Lecture,36
263,B212,Conflicting Images of Man,NULL,NULL,NULL,NULL,NULL,53
264,B471,Conservation Biology,4,NULL,"(Prerequisite: a grade of C or better in two of the three core courses: BIOL B301, B302, B303) Synthesis of current scientific trends in conservation biology. Emphasis will be placed on the preservation of biological diversity as well as its evolutionary potential. Laboratory/Seminar will review scientific literature and introduce modern molecular techniques in conservation biology and computer simulation modeling.",Standard Letter,Lab / Clinical,9
265,B471,Conservation Biology,4,NULL,"(Prerequisite: a grade of C or better in two of the three core courses: BIOL B301, B302, B303) Synthesis of current scientific trends in conservation biology. Emphasis will be placed on the preservation of biological diversity as well as its evolutionary potential. Laboratory/Seminar will review scientific literature and introduce modern molecular techniques in conservation biology and computer simulation modeling.",Standard Letter,Lecture,9
266,B471,Conservation Biology,4,NULL,"(Prerequisite: a grade of C or better in two of the three core courses: BIOL B301, B302, B303) Synthesis of current scientific trends in conservation biology. Emphasis will be placed on the preservation of biological diversity as well as its evolutionary potential. Laboratory/Seminar will review scientific literature and introduce modern molecular techniques in conservation biology and computer simulation modeling.",Standard Letter,Lecture / Lab - Clinical,9
267,B455,Consumer Behavior,3,NULL,"(Prerequisite: MKTG B350) The principal objective of study is the consumer decision process as examined in a marketing context. Selected concepts from psychology, sociology, anthropology and behavioral disciplines are analyzed to develop the student's ability to understand and predict reactions of consumers to marketing decisions.",Standard Letter,Lecture,48
268,B101,Consumer Economics,3,NULL,"This introductory survey course provides students with an understanding of the basic elements of consumer economics and personal finance. The course is designed to assist students in becoming informed, rational, decision-makers. Topics include planning and budgeting, credit, consumer rights, consumers and markets, marginal analysis and taxes.",Standard Letter,Lecture,15
269,B312,Contemp Cross-Cult Analysis,3,NULL,"An examination of conformity, conflict or stability, of human interactions across cultural boundaries both at home and abroad, the positive and negative consequences of increasing global interconnectedness and the role of culture change, ethnic identity or religious unity in creating contradictory social and political trends. (Satisfies USCB General Education Global Citizenship and Multicultural Understanding Requirement).",Standard Letter,Lecture,3
270,B317,Contemp Euro World War I to II,3,NULL,"The Great War, revolution and reconstruction; the rise of authoritarian and totalitarian regimes and the coming of World War II.",Standard Letter,Lecture,33
271,B426,Contemporary American Lit,3,NULL,Poetry and prose from 1945 to present.,Standard Letter,Lecture,26
272,B101,Contemporary Business,3,NULL,"The nature of American business and its goals. The course includes types of economic systems and concepts of organizing and managing businesses. Topics in management, marketing, finance and accounting will be integrated into the course. A topical survey of business issues and challenges.",Standard Letter,Lecture,8
273,B211,Contemporary Moral Issues,3,NULL,"Moral issues confronting men and women in contemporary society. Topics will vary but may include discussion of problems related to abortion, drugs, euthanasia, war, social engineering and punishment of criminals.",Standard Letter,Lecture,53
274,B301,Contemporary Pro Nursing Pract,NULL,NULL,NULL,NULL,NULL,51
275,B629,Content Area Reading & Writing,3,NULL,"After gaining a sound theoretical knowledge of the reading and writing processes in nonfiction text, teachers will apply what they have learned to their own disciplines, creating strategies that will support students in reading and writing within the context of content area instruction.",Standard Letter,Lecture,24
276,B429,Content Literacy for Sec Teach,3,NULL,"(Prerequisite: EDCI B100; admissions to a secondary teaching program, or special permission of the Department Chair of Education) This course provides 7-12 teachers with the strategies for teaching literacy within the framework of content area classes. The course teaches a sound theoretical knowledge of academic vocabulary, nonfiction texts structures and strategies for analyzing texts to improve the knowledge base.",Standard Letter,Lecture,24
277,B419,Content Literacy for Secondary,NULL,NULL,NULL,NULL,NULL,24
278,B376,Contract Foodservice Mgmt,3,NULL,Issues related to the management of contract foodservice accounts.,Standard Letter,Lecture,36
279,B111,Controv in American Politics,3,NULL,"An introduction to the analysis of key issues in contemporary American politics focusing on the arguments, the groups involved and the political factors that influence the outcome of the debate.",Standard Letter,Lecture,55
280,B250,Copyediting & Document Design,3,NULL,"(Prerequisite: ENGL B102, with a grade of 'C' or higher) This course gives students an overview of the skills necessary to prepare texts (in a range of media) for publication: copyediting and document design. Students will learn to design texts for greater readability, and to complete document reviews including grammar/style, copyediting notations, and fact-checking. Appropriate for students from any discipline.",Standard Letter,Lecture,26
281,B355,Cost Accounting,3,NULL,"(Prerequisite: Grade of  C  or higher in ACCT B226) Preparation, critical analysis and use of management accounting information for purposes of strategic decision making, planning and control and performance measurement and evaluation.",Standard Letter,Lecture,1
282,B222,Creative Writing across Curric,3,NULL,"(Prerequisite: ENGL B101 or B105, and ENGL B102 or B106, each with a C or higher.) Introductory level workshop designed to foster a student s appreciation for, and ability to create brief works of adult level fiction, poetry, nonfiction, and drama. Appropriate for students from any discipline.",Standard Letter,Lecture,26
283,B303,Critical Social Theories,3,NULL,"This course is an introduction to the critical social theories that have developed since the late 19th century. Critical social thought in philosophy focuses on various socio-historical conditions in contemporary society, as well as on the sociocultural methods that are used to study them. Possible frameworks may include Marxism, Neo-Marxism, feminist philosophies, queer theory, critical race theory, and post-analytic philosophy. Social and cultural topics may include race, gender, global economic dynamics, Internet culture, and social media.",Standard Letter,Lecture,53
284,B301,Cruise Line Management,3,NULL,"An overview of the cruise line industry, its organization, impacts upon ports of call and destinations, and the skills needed to begin a productive career in this specialized travel.",Standard Letter,Lecture,36
285,B455,Cryptography,3,NULL,"(Prerequisite: CSCI/ISAT B201, CSCI/ISAT B416, MATH B141, STAT B201 or B240 or B340, or consent of instructor.) Cryptography, secure encryption protocols, and the essential mathematics underlying encryption. Number theory, symmetric and asymmetric ciphers, hash functions, key management and distribution. Transport-level security and other forms of network and Internet security.",Standard Letter,Lecture,39
286,B322,Cultural Diversity in Educ,3,NULL,"This course prepares students to demonstrate an understanding of the depth and breadth of cultural diversity within the United States, as well as the ways that the intersections of cultures within the classroom shape teaching and learning outcomes.",Standard Letter,Lecture,16
287,B330,Cultural Historiography,3,NULL,(Prerequisite: Students must be classified as a junior or senior.) Intensive interdisciplinary study of selected topics regarding cultural history with empirical research component. Open to all majors. Can be repeated up to two times (6 credit hours). Topic reflected in section number. Maymester only.,Standard Letter,Lecture,37
288,B380,Cultural Psychology,3,NULL,"(Prerequisite: PSYC B101) A global cultural perspective on human behavior exploring how culture influences our lives and the lives of others across the world. Topics may include cultural influences on development, mental health, cognition, personality and social behavior.",Standard Letter,Lecture,56
289,B410A,Current Issues,NULL,NULL,NULL,NULL,NULL,36
290,B410B,Current Issues: Destination,3,NULL,(Prerequisite: Senior standing) Issues and problems concerning the hospitality industry.,Standard Letter,Lecture,36
291,B410A,Current Issues: Resort/Condo,3,NULL,(Prerequisite: Senior standing) Issues and problems concerning the hospitality industry.,Standard Letter,Lecture,36
292,B342,Curriculum Plan and Dev in ECE,3,NULL,"(Prerequisite or Co-requisites: EDCI B100; EDEC B340; EDPY B335). This curriculum course is designed for prospective teachers in the nursery, kindergarten and primary schools. The course explores various issues involved in the development and education of children from the ages of four to eight. Attention is given to learning activities, materials and equipment suitable for teaching at this level. Emphasis is given to appropriate methods for assessment of children ages four through eight and to the relationship of various subject areas to the physical, social, emotional and cognitive development of the child. Philosophy, history of early childhood education, classroom management, societal influences, parental involvement and community resources are included.",Standard Letter,Lecture,17
293,B320,"Curriculum Planning,Technology",3,NULL,"(Prerequisite or Corequisite: EDCI B100) Explores issues of development and education of adolescents including curriculum, instruction, activities, materials, and authentic assessment. Prospective teachers will understand the importance of differentiation and technology integration at all levels of instruction and assessment. Parental involvement, community resources, and collaborative relationships with specialists are included components of this course.",Standard Letter,Lecture,16
294,B516,Data Communications & Networks,3,NULL,"(Prerequisite: undergraduate programming experience or CSCI B500 or consent of instructor) Advanced topics in data communications, architecture, communication protocols, topologies, network access control, LANs, MANs, and WANs; internetworking.",Standard Letter,Lecture,13
295,B622,Data Management & Analytics,3,NULL,"(Prerequisite: CSCI B520 [or demonstrated equivalent knowledge/experience] or consent of instructor) Foundations of data analytics. Concepts and skills for relational data modeling, querying, and management.",Standard Letter,Lecture,13
296,B522,Data Mining,3,NULL,"(Prerequisite: CSCI B501 and CSCI B502 [or demonstrated equivalent knowledge/experience]) Concepts, issues, tasks and techniques of data mining. Topics include data preparation, feature abstraction, association, classification, clustering, evaluation and validation, scalability, spatial and sequence mining, and data mining applications.",Standard Letter,Lecture,13
297,B566,Data Visualization,3,NULL,"(Corequisite: CSCI B501 and CSCI B502 or consent of instructor) Advanced techniques and algorithms for creating effective visualizations based on principles from graphic design, visual art, perceptual psychology, and cognitive science.",Standard Letter,Lecture,13
298,B466,Data Visualization,3,NULL,(Prerequisite: CSCI B350 and CSCI B365 or consent) Concepts of visualization and human vision system; hardware and software basics of computer graphics; visualization pipeline; data representation and processing in computer graphics; algorithms in rendering 2D and 3D geometry; image processing; applications of visualization in science and technology.,Standard Letter,Lecture,13
299,B420,Database Mgmt Systems II,3,NULL,"{ ISAT B420} (Prerequisite: CSCI B320) This course explores advanced data manipulation and server-side programming techniques for use in enterprise Relational Database Management Systems (RDBMS). Topics include: platform specific programmatic extensions to Structured Query Language (SQL); stored procedure, function, and package implementation; trigger creation and usage; query optimization techniques; security considerations.",Standard Letter,Lecture,13
300,B420,Database Mgmt Systems II,3,NULL,"{ CSCI B420} (Prerequisite: CSCI B320) This course explores advanced data manipulation and server-side programming techniques for use in enterprise Relational Database Management Systems (RDBMS). Topics include: platform specific programmatic extensions to Structured Query Language (SQL); stored procedure, function, and package implementation; trigger creation and usage; query optimization techniques; security considerations.",Standard Letter,Lecture,39
301,B320,Database Systems and Mgmt,3,NULL,"{ ISAT B320} (Prerequisite: CSCI B145 or consent) Provides foundations of database systems for students with little prior database experience; topics include relational algebra, data models, schema design and normalization, storage management, query, transaction, concurrency control and consistency.",Standard Letter,Lecture,13
302,B321,Database-Driven Application Dv,3,NULL,"{ ISAT B321} (Prerequisite: CSCI B145 and CSCI B320) Development of data-driven software for devices including smart phones, tablets, handheld units, and other general purpose computing platforms. Emphasis on database connectivity, design patterns, human-computer interfaces and usability.",Standard Letter,Lecture,13
303,B321,Database-Driven Application Dv,3,NULL,"{ CSCI B321} (Prerequisite: CSCI B145 and CSCI B320) Development of data-driven software for devices including smart phones, tablets, handheld units, and other general purpose computing platforms. Emphasis on database connectivity, design patterns, human-computer interfaces and usability.",Standard Letter,Lecture,39
304,B320,Databse Management Sys I,3,NULL,"{ CSCI B320} (Prerequisite: CSCI B145 or consent) Provides foundations of database systems for students with little prior database experience; topics include relational algebra, data models, schema design and normalization, storage management, query, transaction, concurrency control and consistency.",Standard Letter,Lecture,39
305,B202,Decision Making in Conc Based,3,NULL,"(For the pre-licensure track: Prerequisite: Acceptance as a pre-licensure BSN student; Co-requisite: NURS B310 and NURS B312) The nursing process as a problem-solving framework is introduced to identify, treat, evaluate and document clinical problems in health records. Emphasis is placed on patient and family-centered therapeutic communication as an adjunct to assessment and evaluation. Selected universal concepts reflecting the holistic nature of caregiving across settings are presented to advance critical thinking.",Standard Letter,Lab / Clinical,51
306,B202,Decision Making in Conc Based,3,NULL,"(For the pre-licensure track: Prerequisite: Acceptance as a pre-licensure BSN student; Co-requisite: NURS B310 and NURS B312) The nursing process as a problem-solving framework is introduced to identify, treat, evaluate and document clinical problems in health records. Emphasis is placed on patient and family-centered therapeutic communication as an adjunct to assessment and evaluation. Selected universal concepts reflecting the holistic nature of caregiving across settings are presented to advance critical thinking.",Standard Letter,Lecture,51
307,B202,Decision Making in Conc Based,3,NULL,"(For the pre-licensure track: Prerequisite: Acceptance as a pre-licensure BSN student; Co-requisite: NURS B310 and NURS B312) The nursing process as a problem-solving framework is introduced to identify, treat, evaluate and document clinical problems in health records. Emphasis is placed on patient and family-centered therapeutic communication as an adjunct to assessment and evaluation. Selected universal concepts reflecting the holistic nature of caregiving across settings are presented to advance critical thinking.",Standard Letter,Lecture / Lab - Clinical,51
308,B335,Deliv Sys for the Indigent,3,NULL,The management of food and lodging delivery systems for the indigent.,Standard Letter,Lecture,36
309,B111,Descriptive Astronomy I,3,NULL,"(Prerequisite: Grade of C or better in MATH B111 or a higher level mathematics course) The universe: physical processes and methods of study. Lectures, demonstrations, and laboratory experience. Designed primarily for the non-science major.",Standard Letter,Lecture,7
310,B111L,Descriptive Astronomy I Lab,1,NULL,Selected topics from ASTR B111 studied in greater depth. Laboratory experience required of students who have not completed ASTR B111.,Standard Letter,Lab / Clinical,7
311,B211,Descriptive Astronomy II,3,NULL,"(Prerequisite: Grade of C or better in MATH B111 or a higher level mathematics course) Study of Galactic Astronomy including stars, black holes and Galaxies.",Standard Letter,Lecture,7
312,B211L,Descriptive Astronomy II Lab,1,NULL,(Prerequisite or Co-requisite: ASTR B111L) Topics from ASTR B111/B211 studied in greater depth. Laboratory experience required of students who have not completed ASTR B111.,Standard Letter,Lab / Clinical,7
313,B327,Design of Mechanical Elements,3,NULL,"(Prerequisite: CSXE B260.) Design against static failure and fatigue failure of structural members and machine parts; design and selection of components including fasteners, welds, shafts, springs, gears, bearings, and chain drives.",Standard Letter,Lecture,14
314,B235,Destination Marketing,3,NULL,"The application of marketing management and best practices to Hospitality destination development. Also examined will be the structures of destination marketing organizations, funding sources, and operations.",Standard Letter,Lecture,36
315,B401,Dev American People to 1789,3,NULL,"The founding of the English colonies, their developing maturity, the events leading to the Revolution and the creation of a new nation.",Standard Letter,Lecture,33
316,B453,Dev of the English Language,NULL,NULL,NULL,NULL,NULL,26
317,B405,Developmental Biology I,3,NULL,"(Prerequisite: a grade of C or better in two of the three core courses: BIOL B301, B302, B303) An introduction to the fundamental principles of animal and plant embryonic and post-embryonic development using anatomical, experimental and molecular genetics approaches. Three lecture hours per week.",Standard Letter,Lecture,9
318,B405L,Developmental Biology I Lab,1,NULL,(Co-requisite: BIOL B405) Descriptive and experimental exercises related to embryology. One three-hour laboratory per week.,Standard Letter,Lab / Clinical,9
319,B431,Devpmt of the English Language,3,NULL,"{ ENGL B453} English from Indo-European through Germanic and into Old English, Middle English and Modern English. No previous knowledge of Old English or Middle English is required.",Standard Letter,Lecture,42
320,B623,Differentiation in Read Instr,3,NULL,"This course requires that students conduct in-depth study of effective literacy methods, materials, and formative assessment for K-12 classrooms. Emphasis is on serving the instructional needs of diverse students, including the gifted and talented, culturally and linguistically diverse learners, and children and young people with disabilities.",Standard Letter,Lecture,24
321,B210,Digital Animation 1,3,NULL,"Introduction to the theory and practice of using computer software to create animated digital media, including 3D character animation.",Standard Letter,Lecture,43
322,B310,Digital Animation 2,3,NULL,"(Prerequisite: MART B210) Intermediate project-based course on a specialized aspect of digital animation production, including 3D modeling, character animation, or special effects.",Standard Letter,Lecture,43
323,B216,Digital Comm Technologies,3,NULL,(Prerequisite: COMM B140 or B201) This course introduces students to digital communication technologies from both a theoretical and practical framework. Students will understand how to use communication technologies to advance communication strategies to multiple audiences.,Standard Letter,Lecture,11
324,B375,Digital Fabrication,3,NULL,"(Prerequisite: MART B145 or permission of instructor) An introduction to emerging technologies relating to rapid prototyping processes, this course focuses on three-dimensional printing and other computer controlled technologies pertaining to the design and fabrication of a sculptural object and/or design.",Standard Letter,Lecture,43
325,B563,Digital Image Processing,3,NULL,"(Prerequisite: CSCI B500, B501, and B502 [or demonstrated equivalent knowledge/experience]) Computational techniques in image processing and analysis.",Standard Letter,Lecture,13
326,B145,Digital Imaging,3,NULL,"(Prerequisite: MART B102 or permission of instructor.) Foundations class on the aesthetic and communicative elements of digital image production, including 2D computer graphics, 3D motion graphics, and coding for media designers.",Standard Letter,Lecture,43
327,B211,Digital Logic Design,3,NULL,"{ CSCI B211} (Prerequisite: MATH B141 or B174) Number systems, Boolean algebra, logic design, sequential machines.",Standard Letter,Lecture,39
328,B211,Digital Logic Design,3,NULL,"{ ISAT B211} (Prerequisite: MATH B141 or B174) Number systems, Boolean algebra, logic design, sequential machines.",Standard Letter,Lecture,13
329,B262,Digital Photography I,3,NULL,"(Prerequisite: ARTS B102, B103, B104, and B111) An introduction to the use of the DSLR camera and software manipulation. Manual camera use and creative expression will be the focus aside from historical references pertaining to traditional and digital photography.",Standard Letter,Lecture,6
330,B262,Digital Photography I,3,NULL,"(Prerequisite: ARTS B102, B103, B104, and B111) An introduction to the use of the DSLR camera and software manipulation. Manual camera use and creative expression will be the focus aside from historical references pertaining to traditional and digital photography.",Standard Letter,Studio / PE Course,6
331,B363,Digital Photography II,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B262) Building on the foundation of ARTS B262, the photographic image is further explored in the form of time-based and alternative concepts of photography.",Standard Letter,Lecture,6
332,B363,Digital Photography II,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B262) Building on the foundation of ARTS B262, the photographic image is further explored in the form of time-based and alternative concepts of photography.",Standard Letter,Studio / PE Course,6
333,B364,Digital Photography III,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B363) A more experimental approach to the photographic image. Non-traditional processes and concepts will be explored, with the further development of personal expression related to the image.",Standard Letter,Lecture,6
334,B364,Digital Photography III,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B363) A more experimental approach to the photographic image. Non-traditional processes and concepts will be explored, with the further development of personal expression related to the image.",Standard Letter,Studio / PE Course,6
335,B295,Directed Studies in Biology,1,4,"(Prerequisite: BIOL B101) Study of a topic not otherwise available to student. May involve reading assignments, tutorial, lectures, papers, presentations, or field or laboratory study, determined in consultation with instructor. Repeatable to a maximum of 6 credits.",Standard Letter,Lecture,9
336,B390,Directed Studio Art Internship,3,NULL,"(Prerequisites: minimum 2.5 GPA, 24 hours of ARTS credits, and approved contract with the internship supervisor) Supervised professional experience working within an arts business. A contract approved by the instructor, advisor and department chair is required for undergraduate students. Minimum of 150 service hours required.",Standard Letter,Internship / Cooperative,6
337,B333,Directing,3,NULL,"(Prerequisite: THEA B170). An introduction to the history, principles, and practices of the art of stage direction including the selection, casting, and rehearsing of scenes to be presented in class.",Standard Letter,Lecture,64
338,B174,Discrete Math for Computer Sci,3,NULL,"(Prerequisite: Qualification through placement or a grade of  C  or better in MATH B115) Induction, complexity, elementary counting, combinations and permutations, recursion and recurrence relations, graphs and trees; discussion of the design and analysis of algorithms  with emphasis on sorting and searching. Offered Spring semester.",Standard Letter,Lecture,44
339,B174,Discrete Math for Computer Sci,NULL,NULL,NULL,NULL,NULL,45
340,B403,Documentary Production,3,NULL,(Prerequisite: COMM B225 or instructor permission) A course devoted to the study of techniques of producing documentaries on video. The work will be grounded in an historical survey of the genre in film and television. The class will include single camera production projects by class production teams.,Standard Letter,Lecture,11
341,B307,Documentary Theory & Aesthetic,3,NULL,"The course is a theoretical consideration of documentary filmmaking, covering the subgenres, conventions, evolution, social impact, and contemporary issues of the genre. Students will watch and critique films that represent a variety of approaches to the genre.",Standard Letter,Lecture,11
342,B111,Drawing I,3,NULL,Introduction to the materials and basic techniques of drawing.,Standard Letter,Lecture,6
343,B111,Drawing I,3,NULL,Introduction to the materials and basic techniques of drawing.,Standard Letter,Studio / PE Course,6
344,B212,Drawing II,3,NULL,"(Prerequisite: ARTS B102, B103, B104, and B111) This course offers further development of skills in observation; composition, drawing techniques, and language to students who have completed ARTS B111 or equivalent.",Standard Letter,Lecture,6
345,B212,Drawing II,3,NULL,"(Prerequisite: ARTS B102, B103, B104, and B111) This course offers further development of skills in observation; composition, drawing techniques, and language to students who have completed ARTS B111 or equivalent.",Standard Letter,Studio / PE Course,6
346,B330,Drawing III,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B212) Enhancing graphic richness in drawings with intellectual and visual perception as content.",Standard Letter,Lecture,6
347,B330,Drawing III,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B212) Enhancing graphic richness in drawings with intellectual and visual perception as content.",Standard Letter,Studio / PE Course,6
348,B310,Dynamics,3,NULL,"(Prerequisite: CSXE B200.) Kinematics of particles and rigid bodies. Kinetics of particles, emphasis on Newton s second law: energy and momentum methods for the solution of problems. Applications of plane motion of rigid bodies.",Standard Letter,Lecture,14
349,B405,Early Shakespeare,3,NULL,"Shakespeare s early poetry and plays, with representative works by his contemporaries.",Standard Letter,Lecture,26
350,B301,Ecology and Evolution,3,NULL,"(Prerequisite: a grade of  C  or better in BIOL B102 and Co-requisite: BIOL B301L) Concepts of evolution, populations and population interactions; communities and ecosystems. Three lecture hours per week.",Standard Letter,Lecture,9
351,B301L,Ecology and Evolution Lab,1,NULL,"(Prerequisite or Co-requisite: BIOL B301) Experiments, exercises and demonstrations. Three hours per week.",Standard Letter,Lab / Clinical,9
352,B311,Ecology Human Social Systems,3,NULL,"Relationships among and changes in populations, social organization, technology and the environment.",Standard Letter,Lecture,59
353,B211,Editing and Publ Prac PEN,NULL,NULL,NULL,NULL,NULL,26
354,B211,Editing and Publishing  PEN,NULL,NULL,NULL,NULL,NULL,26
355,B211,Editing and Publishing PEN,NULL,NULL,NULL,NULL,NULL,26
356,B211,Editing and Publishing Prac,1,NULL,"(Prerequisite: ENGL B102 and at least one 200-level ENGL course, which may be taken concurrently. Consent of instructor.)English 211 provides students with practical experience in editing and publishing through their work on the critical journal or literary magazine; may be taken up to 6 times for credit. Appropriate for students from any discipline.",Standard Letter,Practicum,26
357,B211,Editing and Publishing: MRR,NULL,NULL,NULL,NULL,NULL,26
358,B211,Editing and Publishing: PEN,NULL,NULL,NULL,NULL,NULL,26
359,B620,"Educ Research, Design & Analy",3,NULL,"This course provides an overview of the principles, models, and techniques of educational research. A substantial portion of this course focuses on the acquisition of critical reading skills and on the analysis and interpretation of data produced by educational investigation and inquiry.",Standard Letter,Lecture,25
360,B340,Education of the Young Child,3,NULL,"(Prerequisite or Co-requisite: EDCI B100). A study of the physical, emotional, intellectual and social components of development, birth through age eight and their relationship to the education of the young child birth - age eight. Diagnosis and assessment of development are addressed. Programs serving young children and their families will be discussed. The administration of these programs as well as advocacy efforts are included. Observation and participation in early childhood settings is required.",Standard Letter,Lecture,17
361,B242,Elementary Differential Equatn,3,NULL,"(Prerequisite: Qualification through placement or a grade of  C  or better in MATH B142) Ordinary differential equations of first order, higher order linear equations, Laplace transform methods, series methods; numerical solution of differential equations. Applications to physical sciences and engineering. Offered Spring semester.",Standard Letter,Lecture,44
362,B242,Elementary Differential Equatn,NULL,NULL,NULL,NULL,NULL,45
363,B201,Elementary Statistics,3,NULL,"(Prerequisite: MATH B101 or higher or consent of instructor) An introductory course in the fundamentals of modern statistical methods. Topics include descriptive statistics, normal distributions, random sampling, statistical studies and ethics, probability, confidence intervals, tests of hypothesis, simple linear regression and correlation.",Standard Letter,Lecture,62
364,B201,Elementary Statistics,NULL,NULL,NULL,NULL,NULL,63
365,B220,Elementary Statistics for Soc,3,NULL,"An introduction to concepts and application of quantitative methods, including descriptive and inferential statistics. Emphasis on analysis of empirical sociological data.",Standard Letter,Lecture,59
366,B210,Elementary Statistics II,3,NULL,"(Prerequisite: STAT B201 or consent of instructor) A second course in statistics for students requiring knowledge of advanced procedures for descriptive and inferential statistics. Topics include assessing normality, modeling nonlinear data, conditions and assumptions for inference, and application of multiple inference techniques. Other topics chosen from: statistical quality control, random variables, binomial and geometric distributions, sampling and simulation, and non-parametric tests.",Standard Letter,Lecture,63
367,B202,Elementary Statistics Lab,1,NULL,(Prerequisite: or Co-requisite: STAT B201) Experiments which illustrate important concepts of elementary statistics. Two laboratory hours per week.,Standard Letter,Lab / Clinical,63
368,B385,Emerging Technologies,3,NULL,"(Prerequisite: MART B145 or permission by instructor) This course focuses on the use of hardware and software to create artwork that has elements of interactivity, time-based functionality and code manipulation. Other topics include: DIY movements, microprocessors, and installation art.",Standard Letter,Lecture,43
369,B211,Eng Graphics and Visualization,3,NULL,(Prerequisite: PHYS B211 or consent of instructor) Principles and practice of visualization and graphical representation using modern computer-aided design tools.,Standard Letter,Lecture,14
370,B491,English Capstone,1,NULL,(Prerequisite: English or English Education major; Department approval; Must be taken during last semester of coursework) Students  analytical reflection and writing about their program through the creation of a digital portfolio.,Standard Letter,Lecture,26
371,B288,English Literature I,NULL,NULL,NULL,NULL,NULL,26
372,B289,English Literature II,NULL,NULL,NULL,NULL,NULL,26
373,B289,English Literatures from 18th,3,NULL,"(Prerequisite: ENGL B101 or B105, and ENGL B102 or B106, each with a C or higher.) British and postcolonial poetry, drama and prose from the 18th Century to the present. Appropriate for students from any discipline.",Standard Letter,Lecture,26
374,B288,English Literatures to 18th C,3,NULL,"(Prerequisite: ENGL B101 or B105, and ENGL B102 or B106, each with a C or higher.) Early British poetry, drama, and prose to the 18th Century. Appropriate for students from any discipline.",Standard Letter,Lecture,26
375,B105,Enhanced Composition,3,NULL,"English majors, humanities majors, and all word-lovers: an enhanced version of ENGL B101. An introduction to genres of writing, including (but not limited to) researched arguments.",Standard Letter,Lecture,26
376,B106,Enhanced Composition and Lit,3,NULL,"(Prerequisite: ENGL B101 or B105, each with a grade of  C  or higher) For English majors, humanities majors, and all word-lovers: an enhanced version of ENGL B102. An introduction to literary interpretation and the writing of researched arguments about literature.",Standard Letter,Lecture,26
377,B380,Entrepreneurship,3,NULL,"(Prerequisites: MKTG B350, BADM B363 and MGMT B371) This course is an overall introduction to the nature and scope of entrepreneurship. The entrepreneurial process as well as the entrepreneurial profile is examined in detail. It includes the planning, financing, launching and harvesting of a new venture. Entrepreneurial strategies are discussed for all facets of the business including franchising, growth and international aspects. Application of entrepreneurship to large corporations, i.e. entrepreneurship, is also a part of the course.",Standard Letter,Lecture,8
378,B341,Environmental Ethics,3,NULL,Examination of principles and arguments surrounding moral issues involving the environment.,Standard Letter,Lecture,53
379,B380,Epic to Romance,3,NULL,{ CPLT B380} Comprehensive exploration of medieval and other pre-Renaissance literature using texts representative of the evolution of dominant literary forms.,Standard Letter,Lecture,26
380,B211,Essentials of Physics I,3,NULL,(Prerequisite: a grade of C or better in MATH B141; Co-requisite: PHYS B211L or B201L) Classical mechanics and wave motion. Calculus-level course for students of science and engineering.,Standard Letter,Lecture,54
381,B211L,Essentials of Physics I Lab,1,NULL,(Prerequisite or Co-requisite: PHYS B211).,Standard Letter,Lab / Clinical,54
382,B212,Essentials of Physics II,3,NULL,(Prerequisite: a grade of C or better in PHYS B211 and MATH B142; Co-requisite: PHYS B212L) Classical electromagnetism and optics.,Standard Letter,Lecture,54
383,B212L,Essentials of Physics II Lab,1,NULL,(Prerequisite or Co-requisite: PHYS B212).,Standard Letter,Lab / Clinical,54
384,B331L,Essentials Organic Chem Lab I,1,NULL,"(Prerequisite or Co-requisite: CHEM B333) Laboratory safety, syntheses, separation and purification of carbon compounds.",Standard Letter,Lab / Clinical,10
385,B332L,Essentials Organic Chem Lab II,1,NULL,"(Prerequisite: CHEM B331L or, consent of instructor; Prerequisite or Co-requisite: CHEM B334) Continuation of CHEM B331L. Spectroscopic identification of carbon compounds. Three laboratory hours per week.",Standard Letter,Lab / Clinical,10
